edad,genero,zona_residencia,nivel,grado,tipo_escuela,veces_repitio_grado,sobre_edad,promedio_actual,promedio_anterior,materias_reprobadas,porcentaje_asistencia,tercil_socioeconomico,nivel_educacion_padres,trabaja_estudiante
12,F,Urbana,Premedia,7,Oficial,0,0,2.84,3.2,0,59.1,1,Secundaria_Completa,1
13,F,Urbana,Premedia,8,Oficial,0,0,3.62,4.18,0,82.3,2,Secundaria_Incompleta,0
15,F,Rural,Premedia,9,Oficial,1,1,2.41,2.46,0,58.2,1,Secundaria_Completa,1
8,F,Urbana,Primaria,3,Oficial,0,0,3.19,3.69,0,71.4,1,Secundaria_Incompleta,0
11,M,Urbana,Primaria,5,Oficial,3,1,1.77,1.97,0,60.8,1,Primaria_Incompleta,0
17,M,Urbana,Media,12,Particular,0,0,2.95,2.6,0,64.8,1,Secundaria_Completa,1
14,M,Urbana,Premedia,9,Oficial,0,0,3.8,3.34,3,76.0,2,Secundaria_Completa,1
16,F,Urbana,Media,10,Oficial,0,1,3.49,3.21,0,65.1,1,Primaria_Incompleta,1
8,F,Rural,Primaria,1,Oficial,0,2,3.34,3.46,0,68.7,1,Secundaria_Incompleta,0
15,M,Urbana,Media,10,Oficial,0,0,3.58,2.88,0,88.0,2,Secundaria_Completa,0
12,F,Urbana,Premedia,7,Oficial,0,0,3.79,4.0,0,91.5,3,Universidad,0
17,M,Urbana,Media,12,Oficial,3,0,2.44,2.41,1,59.2,1,Secundaria_Completa,1
8,F,Urbana,Primaria,3,Oficial,0,0,3.18,3.78,3,85.8,2,Secundaria_Completa,0
10,M,Urbana,Primaria,5,Oficial,0,0,4.09,3.63,0,84.3,3,Secundaria_Incompleta,0
16,M,Rural,Media,11,Oficial,0,0,3.58,4.0,0,76.0,1,Secundaria_Incompleta,0
11,M,Rural,Primaria,6,Oficial,0,0,3.45,3.38,0,79.2,1,Secundaria_Incompleta,0
9,M,Rural,Primaria,4,Oficial,0,0,3.82,3.95,0,80.2,2,Universidad,0
14,M,Rural,Premedia,9,Oficial,0,0,4.1,4.6,0,79.2,2,Secundaria_Completa,1
19,M,Urbana,Media,12,Oficial,0,2,3.08,2.16,0,76.9,1,Secundaria_Incompleta,0
6,F,Rural,Primaria,1,Oficial,0,0,2.9,2.2,0,74.0,1,Secundaria_Completa,0
10,F,Urbana,Primaria,5,Oficial,0,0,4.34,4.29,2,86.7,2,Secundaria_Completa,0
12,M,Urbana,Primaria,4,Oficial,1,3,2.44,2.14,1,66.1,1,Primaria_Completa,0
15,M,Rural,Premedia,7,Oficial,0,3,2.28,2.37,0,49.1,1,Secundaria_Incompleta,1
14,M,Urbana,Premedia,9,Oficial,0,0,3.83,4.31,0,81.9,1,Secundaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,2.49,2.14,3,61.2,1,Primaria_Completa,1
9,M,Rural,Primaria,4,Oficial,0,0,2.98,2.79,1,69.3,1,Secundaria_Incompleta,0
16,M,Urbana,Media,11,Oficial,0,0,4.04,4.3,0,63.4,1,Primaria_Completa,1
17,F,Urbana,Media,12,Oficial,0,0,3.81,3.58,3,95.9,3,Universidad,0
16,M,Urbana,Premedia,9,Oficial,0,2,4.09,4.56,0,78.7,2,Secundaria_Incompleta,0
11,F,Urbana,Primaria,6,Oficial,0,0,3.42,3.48,0,88.2,2,Universidad,0
17,M,Urbana,Media,12,Particular,0,0,4.8,4.76,0,66.1,2,Secundaria_Completa,1
10,M,Urbana,Primaria,3,Oficial,0,2,3.78,3.5,1,78.6,1,Secundaria_Incompleta,0
14,F,Urbana,Premedia,9,Oficial,0,0,2.75,2.87,0,63.4,1,Secundaria_Incompleta,1
7,M,Rural,Primaria,2,Particular,0,0,3.95,4.04,0,88.2,3,Universidad,0
13,F,Urbana,Premedia,8,Oficial,0,0,2.98,2.54,0,79.3,1,Primaria_Completa,0
10,M,Urbana,Primaria,5,Oficial,0,0,3.14,3.06,3,83.9,2,Secundaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,4.99,4.56,0,91.3,3,Universidad,0
10,M,Rural,Primaria,5,Oficial,0,0,4.4,4.08,0,79.7,3,Universidad,0
11,F,Urbana,Primaria,6,Oficial,0,0,3.04,3.05,0,82.3,2,Secundaria_Incompleta,0
16,F,Urbana,Media,11,Oficial,0,0,4.23,4.01,1,92.4,2,Universidad,0
14,F,Urbana,Premedia,9,Oficial,0,0,2.31,2.74,0,70.7,1,Secundaria_Incompleta,0
18,M,Rural,Media,11,Oficial,0,2,3.15,3.15,1,71.4,2,Secundaria_Completa,0
7,F,Rural,Primaria,2,Oficial,0,0,4.02,3.63,0,79.2,2,Secundaria_Completa,0
14,M,Urbana,Premedia,9,Oficial,0,0,3.26,2.72,0,77.2,1,Secundaria_Completa,0
11,M,Urbana,Primaria,6,Oficial,0,0,3.21,3.95,0,78.6,2,Universidad,0
9,M,Urbana,Primaria,4,Oficial,0,0,4.7,4.97,0,85.9,3,Secundaria_Completa,0
13,M,Urbana,Premedia,8,Oficial,0,0,1.98,1.61,3,59.3,1,Secundaria_Incompleta,0
7,F,Urbana,Primaria,2,Oficial,0,0,4.86,4.66,0,79.7,2,Secundaria_Completa,0
6,F,Urbana,Primaria,1,Oficial,0,0,3.1,3.08,0,78.5,2,Secundaria_Completa,0
11,M,Urbana,Primaria,4,Oficial,0,2,4.22,4.58,0,86.0,3,Universidad,0
14,F,Urbana,Premedia,9,Oficial,1,0,2.04,2.21,2,65.4,1,Primaria_Completa,0
13,M,Urbana,Premedia,8,Oficial,1,0,2.48,1.55,1,70.2,1,Universidad,0
12,F,Rural,Premedia,7,Oficial,0,0,3.44,2.89,0,72.8,1,Secundaria_Incompleta,0
14,F,Rural,Premedia,9,Particular,0,0,3.49,3.1,0,59.9,1,Primaria_Completa,1
6,M,Urbana,Primaria,1,Particular,0,0,4.14,4.12,0,83.7,3,Universidad,0
17,M,Urbana,Media,10,Oficial,0,2,3.0,3.37,2,61.0,1,Primaria_Completa,1
13,F,Rural,Premedia,8,Oficial,0,0,1.82,1.23,0,61.3,1,Primaria_Completa,1
9,F,Urbana,Primaria,4,Oficial,0,0,2.49,2.47,2,78.9,2,Universidad,0
9,F,Urbana,Primaria,1,Oficial,0,3,2.74,2.18,2,63.0,1,Secundaria_Incompleta,0
7,M,Urbana,Primaria,2,Oficial,0,0,4.64,4.79,0,83.8,3,Secundaria_Completa,0
16,M,Rural,Media,10,Oficial,0,1,3.22,4.01,2,82.3,2,Universidad,0
9,M,Urbana,Primaria,4,Oficial,0,0,3.64,3.02,0,72.7,1,Primaria_Completa,0
7,M,Rural,Primaria,2,Oficial,0,0,4.19,4.51,0,86.7,3,Universidad,0
14,F,Rural,Premedia,9,Oficial,0,0,2.52,2.8,2,78.6,1,Secundaria_Completa,0
8,M,Urbana,Primaria,3,Particular,0,0,3.69,3.36,0,85.5,3,Secundaria_Completa,0
8,F,Urbana,Primaria,3,Particular,0,0,3.2,3.57,0,70.0,1,Secundaria_Incompleta,0
13,F,Urbana,Primaria,5,Oficial,0,3,2.43,2.63,0,64.9,1,Secundaria_Incompleta,0
9,M,Urbana,Primaria,3,Oficial,0,1,3.33,3.94,0,72.3,1,Primaria_Completa,0
17,F,Rural,Media,12,Oficial,1,0,2.27,2.11,2,53.5,1,Secundaria_Completa,1
14,F,Rural,Premedia,9,Oficial,0,0,4.26,4.11,0,90.4,3,Secundaria_Completa,0
17,M,Urbana,Media,12,Oficial,0,0,3.09,3.18,0,90.7,3,Universidad,0
16,F,Rural,Media,11,Oficial,0,0,4.36,4.77,0,90.2,3,Universidad,0
14,M,Urbana,Premedia,9,Oficial,0,0,2.96,2.99,0,84.2,3,Universidad,0
12,M,Urbana,Premedia,7,Oficial,2,0,2.39,2.23,3,71.9,1,Primaria_Completa,0
15,F,Urbana,Media,10,Particular,0,0,4.21,3.78,2,76.2,2,Secundaria_Incompleta,0
13,M,Rural,Premedia,8,Oficial,0,0,3.78,3.93,3,71.2,1,Primaria_Incompleta,0
11,M,Urbana,Primaria,6,Oficial,0,0,4.58,5.0,0,74.9,1,Secundaria_Completa,0
9,F,Urbana,Primaria,4,Oficial,0,0,3.92,3.82,0,87.6,2,Secundaria_Completa,0
