id_estudiante,año_lectivo,edad,genero,nacionalidad,zona_residencia,nivel,grado,tipo_escuela,veces_repitio_grado,sobre_edad,promedio_actual,promedio_anterior,materias_reprobadas,porcentaje_asistencia,tercil_socioeconomico,nivel_educacion_padres,trabaja_estudiante,estado_actual,desertor,probabilidad_desercion
E000001,2020,12,F,Panameña,Urbana,Premedia,7,Oficial,0,0,2.84,3.2,0,59.1,1,Secundaria_Completa,1,Desertor,1,0.415
E000002,2020,13,F,Panameña,Urbana,Premedia,8,Oficial,0,0,3.62,4.18,0,82.3,2,Secundaria_Incompleta,0,Activo,0,0.0299
E000003,2020,15,F,Panameña,Rural,Premedia,9,Oficial,1,1,2.41,2.46,0,58.2,1,Secundaria_Completa,1,Desertor,1,0.556
E000004,2020,8,F,Panameña,Urbana,Primaria,3,Oficial,0,0,3.19,3.69,0,71.4,1,Secundaria_Incompleta,0,Desertor,1,0.0641
E000005,2020,11,M,Panameña,Urbana,Primaria,5,Oficial,3,1,1.77,1.97,0,60.8,1,Primaria_Incompleta,0,Desertor,1,0.9258
E000006,2020,17,M,Panameña,Urbana,Media,12,Particular,0,0,2.95,2.6,0,64.8,1,Secundaria_Completa,1,Desertor,1,0.3193
E000007,2020,14,M,Panameña,Urbana,Premedia,9,Oficial,0,0,3.8,3.34,3,76.0,2,Secundaria_Completa,1,Activo,0,0.0859
E000008,2020,16,F,Panameña,Urbana,Media,10,Oficial,0,1,3.49,3.21,0,65.1,1,Primaria_Incompleta,1,Desertor,1,0.4475
E000009,2020,8,F,Panameña,Rural,Primaria,1,Oficial,0,2,3.34,3.46,0,68.7,1,Secundaria_Incompleta,0,Desertor,1,0.1257
E000010,2020,15,M,Panameña,Urbana,Media,10,Oficial,0,0,3.58,2.88,0,88.0,2,Secundaria_Completa,0,Activo,0,0.0206
E000011,2020,12,F,Panameña,Urbana,Premedia,7,Oficial,0,0,3.79,4.0,0,91.5,3,Universidad,0,Activo,0,0.0086
E000012,2020,17,M,Panameña,Urbana,Media,12,Oficial,3,0,2.44,2.41,1,59.2,1,Secundaria_Completa,1,Desertor,1,0.9586
E000013,2020,8,F,Panameña,Urbana,Primaria,3,Oficial,0,0,3.18,3.78,3,85.8,2,Secundaria_Completa,0,Activo,0,0.014
E000014,2020,10,M,Panameña,Urbana,Primaria,5,Oficial,0,0,4.09,3.63,0,84.3,3,Secundaria_Incompleta,0,Activo,0,0.0094
E000015,2020,16,M,Panameña,Rural,Media,11,Oficial,0,0,3.58,4.0,0,76.0,1,Secundaria_Incompleta,0,Desertor,1,0.093
E000016,2020,11,M,Panameña,Rural,Primaria,6,Oficial,0,0,3.45,3.38,0,79.2,1,Secundaria_Incompleta,0,Activo,0,0.0252
E000017,2020,9,M,Panameña,Rural,Primaria,4,Oficial,0,0,3.82,3.95,0,80.2,2,Universidad,0,Activo,0,0.0184
E000018,2020,14,M,Panameña,Rural,Premedia,9,Oficial,0,0,4.1,4.6,0,79.2,2,Secundaria_Completa,1,Activo,0,0.0432
E000019,2020,19,M,Panameña,Urbana,Media,12,Oficial,0,2,3.08,2.16,0,76.9,1,Secundaria_Incompleta,0,Activo,0,0.134
E000020,2020,6,F,Panameña,Rural,Primaria,1,Oficial,0,0,2.9,2.2,0,74.0,1,Secundaria_Completa,0,Activo,0,0.0498
E000021,2020,10,F,Panameña,Urbana,Primaria,5,Oficial,0,0,4.34,4.29,2,86.7,2,Secundaria_Completa,0,Activo,0,0.0095
E000022,2020,12,M,Panameña,Urbana,Primaria,4,Oficial,1,3,2.44,2.14,1,66.1,1,Primaria_Completa,0,Desertor,1,0.2715
E000023,2020,15,M,Panameña,Rural,Premedia,7,Oficial,0,3,2.28,2.37,0,49.1,1,Secundaria_Incompleta,1,Desertor,1,0.8327
