tipo_crimen,año,mes,provincia,sexo,rango_de_edad,tipo_de_arma_utilizada
Homicidio,2017,Enero,Panamá,Masculino,30-34,Arma de Fuego
Homicidio,2017,Enero,Panamá,Femenino,10-14,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,30-34,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,No disponible,Arma de Fuego
Homicidio,2017,Enero,Panamá,Femenino,40-44,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,35-39,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,40-44,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,25-29,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,18-24,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,30-34,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,18-24,Arma de Fuego
Homicidio,2017,Enero,Panamá Oeste,Femenino,55-59,Arma de Fuego
Homicidio,2017,Enero,Panamá Oeste,Masculino,15-17,Arma de Fuego
Homicidio,2017,Enero,Panamá Oeste,Masculino,0-4,No disponible
Homicidio,2017,Enero,Panamá Oeste,Masculino,50-54,Arma Blanca
Homicidio,2017,Enero,Panamá Oeste,Masculino,18-24,Arma de Fuego
Homicidio,2017,Enero,Panamá Oeste,Femenino,45-49,Arma de Fuego
Homicidio,2017,Enero,Panamá Oeste,No disponible,No disponible,No disponible
Homicidio,2017,Enero,Panamá Oeste,Masculino,5-9,No disponible
Homicidio,2017,Enero,Panamá Oeste,Masculino,18-24,Arma de Fuego
Homicidio,2017,Enero,Chiriquí,Masculino,25-29,Arma de Fuego
Homicidio,2017,Enero,Chiriquí,Masculino,55-59,Arma Blanca
Homicidio,2017,Enero,Chiriquí,Femenino,30-34,Arma Blanca
Homicidio,2017,Enero,Chiriquí,Masculino,40-44,No disponible
Homicidio,2017,Enero,Coclé,Masculino,No disponible,Arma Blanca
Homicidio,2017,Enero,Colón,Masculino,25-29,Arma de Fuego
Homicidio,2017,Enero,Colón,Masculino,30-34,Arma de Fuego
Homicidio,2017,Enero,Colón,Masculino,No disponible,No disponible
Homicidio,2017,Enero,Colón,Masculino,No disponible,Arma de Fuego
Homicidio,2017,Enero,Colón,Masculino,No disponible,No disponible
Homicidio,2017,Enero,Colón,Femenino,50-54,Arma de Fuego
Homicidio,2017,Enero,Colón,Femenino,30-34,Arma de Fuego
Homicidio,2017,Enero,Colón,Masculino,25-29,Arma de Fuego
Homicidio,2017,Enero,Colón,Masculino,18-24,Arma de Fuego
Homicidio,2017,Enero,Herrera,Masculino,40-44,Arma Blanca
Homicidio,2017,Enero,Herrera,Masculino,35-39,Arma Blanca
Homicidio,2017,Enero,Veraguas,Masculino,80 y más,Arma Blanca
Homicidio,2017,Enero,Panamá,Femenino,30-34,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,18-24,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,30-34,Arma Blanca
Homicidio,2017,Enero,Panamá,Masculino,25-29,Arma Blanca
Homicidio,2017,Enero,Panamá,Femenino,No disponible,Arma de Fuego
Homicidio,2017,Enero,Panamá,Femenino,60-64,Objeto Contundente
Homicidio,2017,Enero,Panamá,Masculino,40-44,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,35-39,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,35-39,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,40-44,Arma de Fuego
Homicidio,2017,Enero,Panamá,Masculino,18-24,Arma Blanca
Homicidio,2017,Febrero,Panamá,Masculino,25-29,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,18-24,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,18-24,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,30-34,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,18-24,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,30-34,Arma de Fuego
Homicidio,2017,Febrero,Panamá,No disponible,No disponible,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Femenino,18-24,Arma de Fuego
Homicidio,2017,Febrero,Panamá Oeste,Masculino,25-29,Arma de Fuego
Homicidio,2017,Febrero,Panamá Oeste,Masculino,40-44,No disponible
Homicidio,2017,Febrero,Panamá Oeste,Masculino,60-64,Arma Blanca
Homicidio,2017,Febrero,Panamá Oeste,Masculino,35-39,Arma de Fuego
Homicidio,2017,Febrero,Panamá Oeste,Masculino,30-34,Arma de Fuego
Homicidio,2017,Febrero,Panamá Oeste,Masculino,30-34,Arma de Fuego
Homicidio,2017,Febrero,Bocas Del Toro,Femenino,18-24,No disponible
Homicidio,2017,Febrero,Bocas Del Toro,Masculino,50-54,Objeto Contundente
Homicidio,2017,Febrero,Chiriquí,Masculino,18-24,Arma Blanca
Homicidio,2017,Febrero,Colón,Masculino,25-29,Arma de Fuego
Homicidio,2017,Febrero,Colón,Masculino,18-24,Arma de Fuego
Homicidio,2017,Febrero,Colón,Masculino,30-34,Arma de Fuego
Homicidio,2017,Febrero,Colón,Masculino,35-39,Arma de Fuego
Homicidio,2017,Febrero,Colón,Masculino,18-24,Arma de Fuego
Homicidio,2017,Febrero,Herrera,Masculino,30-34,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,15-17,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,60-64,Arma Blanca
Homicidio,2017,Febrero,Panamá,Masculino,25-29,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,25-29,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Masculino,15-17,Arma de Fuego
Homicidio,2017,Febrero,Panamá,Femenino,60-64,Arma de Fuego
