VICTIMAS,AÑO,MES,provincia,GÉNERO,RANGO DE EDAD,TIPO DE ARMA UTILIZADA
Homicidio,2023,Enero,Veraguas,Masculino,55-59 años,Objeto Contundente
Homicidio,2023,Enero,Bocas Del Toro,Masculino,18-24 años,Arma Blanca
Homicidio,2023,Enero,Panamá Oeste,Femenino,25-29 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá Oeste,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá Oeste,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá Oeste,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá Oeste,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,40-44 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,60-64 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Colón ,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Enero,Chiriquí,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,30-34 años,Arma Blanca
Homicidio,2023,Enero,Panamá,Masculino,45-49 años,Objeto Contundente
Homicidio,2023,Enero,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,40-44 años,Objeto Contundente
Homicidio,2023,Enero,Panamá,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,40-44 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,80 y más años,Asfixia Mecánica
Homicidio,2023,Enero,Panamá,Femenino,80 y más años,Asfixia Mecánica
Homicidio,2023,Enero,Panamá,Femenino,35-39 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,50-54 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá,Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,50-54 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Enero,Panamá (San Miguelito),Masculino,25-29 años,Arma de Fuego 
